"id","created_at","name","has_test","alternate_url"
"118199211","2025-04-10T15:10:51+0300","-",false,"https://hh.ru/vacancy/118199211"
"119396615","2025-04-10T15:46:12+0300","-",false,"https://hh.ru/vacancy/119396615"
"119431487","2025-04-11T13:36:24+0300","-",false,"https://hh.ru/vacancy/119431487"
"119232621","2025-04-14T06:44:05+0300","-",false,"https://hh.ru/vacancy/119232621"
"119476320","2025-04-14T09:39:28+0300","-",false,"https://hh.ru/vacancy/119476320"
"119694550","2025-04-18T13:53:18+0300","-",false,"https://hh.ru/vacancy/119694550"
"120018893","2025-04-28T10:53:17+0300","-",false,"https://hh.ru/vacancy/120018893"
"120042727","2025-04-28T17:10:34+0300","-",false,"https://hh.ru/vacancy/120042727"
"120057040","2025-04-29T09:00:13+0300","-",false,"https://hh.ru/vacancy/120057040"
"119064176","2025-04-30T08:41:43+0300","-",false,"https://hh.ru/vacancy/119064176"
"120100785","2025-04-30T09:43:09+0300","Junior",false,"https://hh.ru/vacancy/120100785"
"120111330","2025-04-30T12:46:36+0300","Junior",false,"https://hh.ru/vacancy/120111330"
"120166622","2025-05-02T09:04:54+0300","-",false,"https://hh.ru/vacancy/120166622"
"120167124","2025-05-02T09:51:31+0300","Middle",false,"https://hh.ru/vacancy/120167124"
"120170277","2025-05-02T14:06:37+0300","-",false,"https://hh.ru/vacancy/120170277"
"120170331","2025-05-02T14:11:18+0300","-",false,"https://hh.ru/vacancy/120170331"
"120171111","2025-05-02T15:17:00+0300","Junior",false,"https://hh.ru/vacancy/120171111"
"120157341","2025-05-02T18:50:48+0300","-",false,"https://hh.ru/vacancy/120157341"
"120177576","2025-05-03T09:55:38+0300","-",false,"https://hh.ru/vacancy/120177576"
"120113378","2025-05-03T13:22:03+0300","-",false,"https://hh.ru/vacancy/120113378"
